,title,published_date,views,likes,dislikes,comments,commeents,month
0,How Does ChatGPT Image Analysis Do on an IQ Test?,Nov,1828,59,0,19,19,01-11-1900
1,A Data Dream Come True,Nov,2007,87,0,23,23,01-11-1900
2,The Death of the Full-Time Job (Rise of the Contractor),Sep,5851,388,0,75,75,01-09-1900
3,How to Survive a Down Data Job Market,Sep,16789,552,0,63,63,01-09-1900
4,The Harsh Reality of the Data Job Market,Aug,106577,2592,0,292,292,01-08-1900
5,7 Industries AI will Aggressively Disrupt,Aug,6078,241,0,41,41,01-08-1900
6,What's in My Data Science Travel Bag? (50+ Flights Last Year),Aug,4166,131,0,48,48,01-08-1900
7,7 Enticing Jobs AI Will Create,Jul,4651,195,0,37,37,01-07-1900
8,The ChatGPT Code Interpreter is OVERRATED,Jul,4077,144,0,31,31,01-07-1900
9,Exciting Announcement!,Jun,6634,298,0,50,50,01-06-1900
10,AI: A Customer Service Revolution?,May,3873,121,0,35,35,01-05-1900
11,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,May,37657,1251,0,59,59,01-05-1900
12,How I Would Learn Data Science with AI (If I Could Start Over),May,33968,1436,0,77,77,01-05-1900
13,This AI question will determine our future,Apr,4278,260,0,37,37,01-04-1900
14,I'll Never Code the Same Again... (GPT-4 is OP),Apr,71190,832,0,79,79,01-04-1900
15,Your current portfolio is actually hurting you #shorts,Mar,7814,452,0,7,7,01-03-1900
16,"Traditional ""networking"" is stupid. Do THIS instead #shorts",Mar,7301,394,0,4,4,01-03-1900
17,you're job searching wrong. #shorts,Mar,4306,254,0,3,3,01-03-1900
18,The Economics of Data Roles #shorts,Mar,9352,579,0,12,12,01-03-1900
19,Why your phone knows everything you say #shorts,Mar,3228,147,0,7,7,01-03-1900
20,Read these for a successful career. #shorts,Mar,3115,246,0,2,2,01-03-1900
21,Is Your Phone Actually Listening to You? #shorts,Mar,2523,45,0,5,5,01-03-1900
22,How I Realized I Was a Bad Manager #shorts,Mar,2773,134,0,1,1,01-03-1900
23,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),Mar,20524,761,0,51,51,01-03-1900
24,Why I Quit Data Science... and then crawled back #shorts,Mar,8175,269,0,13,13,01-03-1900
25,The Best Place to Look for Data Science Opportunities #shorts,Feb,2707,167,0,2,2,01-02-1900
26,Learning On the companies dime #shorts,Feb,3167,174,0,1,1,01-02-1900
27,The Best Way to Transition to Data Science? #shorts,Feb,4264,263,0,6,6,01-02-1900
28,Avoid this Massive Data Science Learning Mistake #shorts,Feb,7098,403,0,6,6,01-02-1900
29,Don't Go into Data for the Money #shorts,Feb,3789,219,0,12,12,01-02-1900
30,First Data Science Project? Watch This.,Feb,7340,362,0,24,24,01-02-1900
31,How to Approach Applying for a Data Role #shorts,Feb,3677,243,0,7,7,01-02-1900
32,The Hard Reality of Data Science Work #shorts,Feb,16049,863,0,15,15,01-02-1900
33,How Much Money Does a Data Scientist Make? #shorts,Feb,4709,195,0,6,6,01-02-1900
34,These 3 Things Make Data Science Special #shorts,Feb,4281,342,0,7,7,01-02-1900
35,Will Data Science Be Automated? #shorts,Jan,10120,423,0,8,8,01-01-1900
36,Is Data Science A Good Fit For You? #shorts,Jan,5123,290,0,11,11,01-01-1900
37,5 Books I Wish I Read Earlier In My Career,Jan,9416,520,0,50,50,01-01-1900
38,How To Start Working on Data Science Projects (As a Beginner) #shorts,Jan,8799,699,0,15,15,01-01-1900
39,What Data Science Tool Would I Learn First? #shorts,Jan,6288,472,0,10,10,01-01-1900
40,How long does it take to become a Data Scientist? #shorts,Jan,7047,503,0,6,6,01-01-1900
41,Where & how to start your Data Science Journey #shorts,Jan,6937,419,0,2,2,01-01-1900
42,How I Would NOT Learn Data Science in 2023.,Jan,127683,4183,0,255,255,01-01-1900
43,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],Dec,4918,207,0,28,28,01-12-1900
44,The Essential Programming Concepts For Learning Data Science,Nov,20602,855,0,46,46,01-11-1900
45,The Data Content House: What You Missed,Oct,10538,348,0,49,49,01-10-1900
46,Is Data Science A Good Career?,Sep,62745,1958,0,140,140,01-09-1900
47,IRON ANALYST (Teaser) #shorts,Sep,5655,365,0,24,24,01-09-1900
48,When a New Data Scientist Joins The Team,Aug,16629,750,0,134,134,01-08-1900
49,State of Data Science - Web Data,Aug,10459,354,0,34,34,01-08-1900
50,Data Science Town Hall - State of Data Science,Aug,9995,368,0,37,37,01-08-1900
